DEMO19	gen	M4ALC1	M4ALC6	purg	nurg	pre	per	ss
99	2	4	3	2.5	2.33	3.36	2.2	2.83
99	2	4	3	1.43	2.08	3.73	3.8	4.25
99	2	1	0	1.21	2	3.82	4.7	3.42
99	2	0	0	2.43	3	4.64	3.6	3.5
99	1	5	5	1.14	1.67	2.82	4.8	4.33
99	1	6	6	1.07	2.08	3.36	3.9	3.83
99	1	2	1	1.36	1.67	2.36	5	5
99	1	0	0	3.29	3.08	3.91	3.9	3.33
99	2	0	0	1	1.5	4.45	4.2	2.33
99	2	1	0	1.14	2.33	3.18	2.7	4.17
99	2	0	0	1.29	2.33	3.45	4.4	2.75
99	1	0	0	1.71	3.42	3.09	3.4	3.42
99	2	5	3	1.71	3.08	3.55	4.4	3.75
99	2	0	0	3.14	3.42	2.55	3.4	4.83
99	2	4	5	1.07	1.92	3.45	4.5	3.25
99	2	4	3	1.79	3.17	2.36	4	3.17
99	2	0	0	1.43	2.58	3.64	3.8	2.67
99	1	1	0	1.57	1.83	4.91	3.6	3.75
99	2	1	0	1.57	3.33	4.82	5	4.92
1	1	4	2	1.14	1.67	4.45	4.2	3.83
1	2	1	0	4.07	3.67	1.82	1.1	2.83
1	2	3	3	2	2.58	2.91	3	3
1	2	3	1	1.21	1.83	2.64	4.4	4.25
1	1	3	3	2.1	2.2	3.67	4	3
1	1	4	2	1.5	1.75	3.45	3.3	4.08
1	2	1	0	1.36	2.08	3.55	4.7	3
1	2	6	6	1.82	2.5	1.55	3	4.67
1	2	2	1	1.07	1.42	4.73	3.6	1.75
1	2	0	0	1.07	2.08	4.45	3.9	1.92
1	1	3	3	1.14	1.42	3.91	3.8	4.36
1	1	0	0	2.71	3.17	2.91	2.9	4.17
1	2	0	0	1	2.17	2.91	3.7	4.25
1	2	0	0	1.07	1.75	3.82	3.8	3.33
1	2	0	0	1.14	1.17	2.55	4.7	2.33
1	2	4	1	1.21	1.5	3.36	4.2	4.08
1	2	0	0	1.71	1.75	3.09	3.8	2.83
3	2	4	2	1.21	1.58	2.82	3.7	3.67
2	2	4	4	1.29	2	4.18	4.4	1.92
1	2	0	0	1.43	2.33	2.64	3.3	3.92
1	2	5	5	1.36	2.5	2.82	4.3	4.5
1	2	3	1	2.07	2.67	3.18	3.9	4.17
1	2	1	0	1.36	3.33	2.64	4.1	4.08
4	2	3	3	1.5	2.58	4.45	4.6	2.67
3	2	0	0	1.14	2.33	4.64	2.6	1.42
1	2	3	1	1.14	1.75	4.36	3.4	1.58
1	2	0	0	1.29	1.83	2.64	3.4	3.5
4	2	2	1	1.07	1.5	4.36	4	1.83
1	2	4	2	1.5	3.58	2.82	4.3	3.33
4	1	0	0	2.43	2.25	3.82	4.6	3
1	1	0	0	2	2.33	3.09	3.5	2.92
1	2	3	2	1.36	1.58	2.82	4.1	3.25
1	2	5	5	1.57	3.08	4	4.9	3.83
3	2	1	0	1.79	3.42	3.18	4.6	1.33
1	2	4	3	1.29	2.08	4.09	3.5	2.33
3	2	3	1	1.36	3	3.82	2.5	2.58
1	1	0	0	1.36	1.67	4.36	3	2.17
2	1	4	3	1.64	2.75	3.36	2.9	4.67
3	2	0	0	1.21	1.5	2.18	4.4	3.75
2	2	0	0	2.15	1.83	4.09	4.7	3.83
3	1	5	2	1.57	3	4.64	4.2	3.25
2	2	3	2	1.14	1.58	3.64	2.6	3.83
1	2	4	2	1	2.58	3.45	4.1	1.33
1	2	0	0	1	1.58	3.82	4	3.17
1	2	3	2	1.07	1.42	2.36	3.8	4.92
1	2	1	0	2	2.25	3.82	2.8	3
1	2	2	1	1.29	2.75	3.64	2.3	1.92
2	2	5	3	3.79	3.67	2.55	3.1	3.33
1	2	2	1	1	1.92	4	3.8	1.5
1	2	2	1	1	1.08	3.36	5	4.83
3	1	0	0	2.67	3.08	3.71	2.78	2.83
2	1	0	0	1	1.25	3.36	4.3	3.17
1	1	0	0	1.29	1.67	4	4.1	3.67
1	2	0	0	1.07	1.67	3.82	4.4	3.5
1	2	1	0	3.67	3.58	1.82	3.5	4
4	2	5	5	1.14	2.5	3.36	4.1	2.58
2	1	1	0	1.21	2.33	2.91	3.6	2
1	1	2	2	1.14	1.42	4.36	4.8	4.5
1	2	5	5	1.21	2.58	2.64	2.7	4.17
1	1	0	0	1.21	1.67	3.27	4.4	3.75
1	2	5	6	1.57	3	3.18	3.7	3
3	2	3	2	1.14	2.08	3.55	3.8	4.08
2	1	0	0	1.43	2.25	3	3.6	5
1	1	4	4	1.71	3.58	2.82	2	2.75
1	2	4	3	1.57	3.92	2.82	3.3	4.75
1	2	1	0	1.57	2.17	3.09	2.6	1.83
1	2	0	0	1.71	3.17	3.6	4	4.33
1	2	3	2	1.36	1.67	3.82	3.3	2.42
1	1	0	0	1.14	2.25	2.91	4	4.75
1	1	0	0	1.93	2.08	2	3.4	4.42
2	2	3	3	1.07	2.42	3	3.6	3.08
2	2	0	0	1	1.92	3.45	4.4	1.75
1	1	0	0	2.21	2.33	3.82	4.5	4.58
2	1	0	0	2.43	2.42	3.27	3.6	2.58
2	1	0	0	1.08	1.78	4.09	4.2	3
1	1	0	0	2.86	3.33	4.64	3.1	4.83
1	1	6	5	2	2.08	3.55	4.1	4.08
1	2	0	0	1.14	2.58	3	4.2	2.5
1	1	0	0	1	1.58	4.09	4.2	4.75
1	1	3	1	2	3.17	3.45	3.6	4.25
3	2	0	0	1.29	2.42	3.09	4.4	4.75
3	2	0	0	3.43	3.5	4.09	3.7	2.5
2	2	0	0	1	2	2.73	3.1	2.92
2	2	0	0	3.14	3.33	4.36	3.3	4
1	2	0	0	1	1.75	3.64	4.1	3.92
1	1	4	2	1.14	1.25	3.45	4.5	3.92
3	1	0	0	1	2.17	4.64	3.1	2.25
2	1	0	0	1.57	2.25	3.82	3.6	4.25
1	2	5	5	1.43	2.42	3.27	3	4.92
1	2	0	0	1.07	2.08	3.91	3.5	3.33
1	2	0	0	1.64	3.5	3.36	3.6	1.42
2	1	5	3	3.5	3.08	3.73	2.7	4.25
1	1	0	0	1.86	2.33	2.91	3.6	4.58
1	1	0	0	1.71	1.92	2.55	3.7	4.67
1	1	1	0	1.21	2.33	2.09	3.2	3.25
1	2	0	0	1.29	1.92	3.73	3.7	1.75
1	2	0	0	1.14	2.92	2	4.6	3.58
1	2	1	0	1	2	3.82	2.4	1.92
1	2	0	0	1.29	3.08	2.27	2.6	2.92
2	1	5	5	1.21	1.58	3.55	4.2	4.5
2	1	0	0	2.5	2.25	3.18	3.7	3.58
2	1	3	3	1	2.17	3.09	2.9	4.08
2	1	0	0	1.07	1.42	3.91	3.6	3.83
4	1	0	0	1.14	1.08	3.36	4.1	4.5
3	1	0	0	1	1	4.36	4	2.5
1	2	1	0	1.14	2.17	1.82	4.5	3.42
1	2	0	0	1.5	2.17	4.27	4.3	1.5
1	2	4	1	1.86	4.08	3.73	3.1	2.92
2	2	0	0	1	1.25	3.64	3.1	2.17
1	2	3	1	1.07	1.58	3.91	4.4	4.33
1	2	1	0	1.36	1.42	3.55	4.5	3.83
1	2	5	6	1.36	2	3.82	4.3	4
2	2	1	0	1.36	2.92	2.18	3.1	3.42
1	2	1	0	1.14	1.67	2.82	4.2	2.83
1	1	0	0	1.14	1.42	4.18	4	2.92
3	2	4	3	1.57	2.17	3.18	3	3.17
1	1	5	5	1.14	1.92	3.45	3.7	3.5
2	1	0	0	3.07	3.58	2.64	2.3	3.08
1	1	0	0	1.29	2.25	2.73	2.6	4.33
1	2	5	2	1.43	1.67	2.73	3.3	2.75
3	1	1	0	1.36	2	4	4.5	4.5
1	1	3	4	1.21	1.5	4.27	4.1	4
1	1	4	3	1.21	1.75	3.27	3.5	4.42
1	1	1	0	1.25	3.33	3.91	3.7	2.17
1	1	1	0	1	1.5	3.55	4	3.17
1	1	1	0	1.57	1.83	3.18	3.7	1.5
1	1	2	1	1.21	1.75	3.91	3.6	2.83
1	1	1	0	1.77	1.67	3.91	3.78	2.5
1	2	4	2	2.71	3	1.45	3.1	4.75
4	1	0	0	1.79	2.25	3	3.1	3.5
1	1	2	1	1	1.67	3.64	4.2	1.83
1	1	0	0	1.86	2.17	3.64	3.8	3.5
2	1	5	3	1.07	1.42	4.09	4.4	4.92
1	2	0	0	1	1.08	3.73	2.4	2.75
2	2	1	0	2.64	2.67	3.36	3.6	3.08
3	2	0	0	1.07	2.08	4	4.5	4.42
1	2	0	0	1	1.42	3.55	4.4	3.75
1	2	4	2	2.14	2.17	3.91	3.8	3.08
1	2	3	0	1.21	1.5	3.09	4.9	3.33
1	2	2	1	1	1.58	4	3.9	4.17
1	1	1	0	1.07	1.25	3.73	4.6	2.75
1	1	0	0	2.57	2.33	3.91	3.8	3.25
1	1	5	6	1.07	1.83	3.82	4.3	4
1	1	0	0	1.86	3.4	4.38	4.2	2.83
1	1	2	2	2.36	1.83	3.73	3.1	4
1	1	2	1	1.43	2.17	4.18	4.3	2.83
2	2	2	1	1.93	2.75	2.5	4.3	3.25
2	2	2	1	1.21	1.33	3.82	4.3	4.58
1	1	1	0	1.14	2.58	3.82	4.2	3.17
1	1	0	0	2.57	3.17	2.91	3.4	3.08
3	1	1	0	1.36	1.58	4.09	3.5	1.5
4	1	4	1	3.17	.	2	3.33	3
1	1	0	0	1.21	1.75	4.18	3.6	3.5
1	1	0	0	1.07	1.08	3.09	3.7	3.33
1	1	0	0	1.14	2.25	3	3.7	4.08
1	2	3	2	1.14	1.92	3.64	3.5	2.5
3	1	5	2	3.21	2.33	3.82	3	2.75
1	1	3	2	1.29	2.58	3.18	3.1	2.25
1	1	3	3	1.57	1.33	4.18	4.2	4.67
1	1	0	0	1.57	2	4.27	4.3	4.25
1	2	3	3	1.07	2.83	4.55	4.5	2.67
1	2	1	0	1	2.83	3.91	3.5	2.42
1	1	5	2	1.5	2.25	3.55	3.7	4.08
1	1	4	5	1.21	1.92	4.18	4.1	3.92
1	1	5	5	1.21	1.75	3.36	2.8	3.83
1	1	1	0	1.21	2.83	4.09	3.7	3.08
1	1	1	0	1.07	1.5	4	4.4	1.92
1	1	5	5	1.36	1.58	3.55	3.3	4
1	1	0	0	1.5	2.25	4.18	3.4	3.83
2	2	5	3	2.79	3.17	2.64	2.5	3.58
1	2	1	0	1	1.67	4.64	3.8	1
3	2	5	3	1.14	2.25	3.55	3.2	2.5
1	2	1	0	1.29	1.58	4.27	3.1	3.08
1	2	3	2	1.71	2.5	3.55	3.3	3.08
1	2	1	0	1.14	1.25	4.36	3.5	2
1	2	1	0	1.21	1.83	3.91	3.9	3.25
1	2	4	2	1.07	1.67	3.55	4.1	3.25
1	2	4	2	1.36	3.08	2.64	2.4	3.92
1	2	0	0	1.21	2.42	2.82	2.6	3.42
1	2	5	5	1.93	3	3.18	3.3	4
1	1	2	1	1.07	2.17	2.18	3.7	3.33
1	1	2	2	3.42	3.42	3.2	3	3.75
1	1	3	3	1.93	3.92	4.45	3.7	2.75
1	2	1	0	1	2.33	3.82	3.6	3
1	2	1	0	1.07	3.17	3.73	3.2	2.08
1	2	1	0	1.36	2.42	3.09	4.1	3.42
1	2	1	0	1.36	2.5	4	2.7	2.67
1	1	0	0	1.5	1.67	2.91	3.7	4.25
2	1	3	2	3.71	2.08	2.18	2.4	4.5
1	1	1	0	2	1.92	4.36	4.3	3.42
1	1	1	0	1.5	3	3.55	3.9	4
1	1	2	1	1.29	1.92	3.64	4.3	4.75
1	2	0	0	1.57	2.42	3.27	3.7	4.27
1	2	2	1	2.29	3.25	2.36	2.7	3
1	1	0	0	1	1.08	3.64	3.7	3.27
1	1	0	0	1.14	1.67	3.73	3.7	3.17
1	1	0	0	1.79	2.33	3.45	4.2	4.33
1	1	0	0	2.07	3.08	1.91	2.5	4.33
1	1	0	0	1.14	1.5	4	4.1	3.67
1	1	0	0	1.07	1.75	3.09	4.3	4.17
1	1	3	2	1.14	1.17	4.64	4.8	3.17
1	2	3	2	1.21	1.75	4.64	2.8	3
1	2	2	2	1.5	2.42	3	3.9	3.73
1	2	3	2	1.71	3.33	3.82	2.6	3.75
1	1	6	6	1.29	1.92	2.36	3.5	2.92
1	1	6	6	2.07	2.92	3.18	3.9	4.08
1	1	0	0	1.64	1.75	3.09	3.6	4.75
1	1	2	2	1.23	1.67	2.36	3.6	3.45
1	1	6	6	1.29	1.67	3.91	4.8	2.83
1	1	5	5	1.64	2.33	4	3.9	3.75
1	2	2	1	1.43	3.58	2.82	4.1	2.91
1	2	3	3	1.07	1.08	4.55	4	2.17
1	2	3	1	1.57	1.92	4.09	4.2	3.5
1	2	4	1	1	1.83	4.27	3.7	3.75
1	2	0	0	1.14	2	3.91	5	3.75
1	2	1	0	1.5	2.42	3.73	3.5	3.58
1	2	3	2	2.07	2.17	3.64	3.7	4.58
1	2	5	3	1.64	3.5	2	2.7	3.33
1	2	0	0	1.29	2.83	4.82	3.8	3.33
1	2	0	0	1	1.08	2.45	3.6	3.42
1	1	6	2	2.43	2.17	3.18	2.3	3.75
1	1	0	0	1.64	2	3.91	3.8	4.08
1	1	4	4	1	1.08	3.82	4.2	3.92
1	1	3	1	1.07	2.58	3	4.3	2.83
2	2	1	0	1	1.5	3.64	4.8	3.33
1	2	2	1	1.29	2.08	2.91	3.3	3.92
1	2	6	6	1.5	3	4	4.3	3.58
1	2	3	2	1.57	3.5	2.73	3.8	3.75
1	1	0	0	1.21	3.92	3.88	3.8	4.17
1	1	4	3	1.14	2.5	3.73	3.2	3.67
1	1	5	1	1.71	2	3	2.5	3.67
1	1	0	0	2.43	2.08	3.64	4.8	3.83
1	1	0	0	3.21	2.75	2.73	3.5	3.17
1	1	0	0	2.21	2.83	2	2.9	3.83
1	1	5	3	1.29	2	2.64	3.7	4.67
1	2	1	0	1.21	2.42	3.18	3.5	3.75
3	2	1	0	1.5	2.33	2.82	3.4	1.58
1	1	1	0	1	2.58	3.09	2.9	1.33
1	1	0	0	1.07	1.42	4.18	3.5	3.42
1	1	4	2	1.79	2.08	2.18	4	4.33
1	1	2	1	2	2.67	2.82	4.4	4.58
1	1	0	0	1.29	2.92	1.82	4	3.83
1	1	0	0	1.43	4	3.91	3	2.92
1	1	1	0	1.93	4.08	4.09	3.8	3.25
1	2	1	0	1.07	2.17	4.18	3.9	3.92
1	2	2	1	1.29	1.67	3.18	3.8	2.5
1	2	1	0	1	2.58	4.91	4.9	1.92
1	2	1	0	1.43	3.08	3	3.6	4.33
1	1	5	4	1	1.83	3.36	3.9	4.42
1	1	4	2	1.57	1.08	2.64	4.7	3.83
1	1	5	6	1.79	3.67	3.36	3.6	4.58
1	2	0	0	1.14	1.83	4.09	4	3.67
1	2	4	3	1.29	3	2.91	2.7	2.92
1	2	1	0	1.29	1.67	3.27	3.2	2.42
1	2	0	0	1	2.42	2.64	4.4	4
1	2	5	4	2.14	2.83	4	2.4	1.67
1	2	2	1	1.14	1.58	3.36	4.4	3.25
1	2	5	5	1.64	2.17	2.82	4.8	4.75
1	2	1	0	1.5	2.67	3.73	4.2	4.92
1	2	2	2	1.29	1.83	3	3.9	4.08
1	2	0	0	3.57	2.25	3.09	3.2	2.67
1	2	1	0	1	1.83	3.82	3.8	3.08
1	2	3	2	1	2.92	4.36	3.8	3.67
1	2	4	2	1	1.83	3.36	4.7	3.33
1	2	2	2	2.57	3.17	4.36	3.6	4.18
1	2	3	1	1.29	3.17	3.82	3.9	2.67
1	1	5	6	2.5	2.75	3	3.4	4.58
1	1	4	5	1.5	2.58	3.91	3.8	3.92
1	1	1	0	1.21	1.33	2.64	3.6	2.58
1	1	5	3	1.5	1.67	4.18	4.5	4
1	1	1	0	1.36	1.67	3.18	3.2	3.58
1	1	3	2	1.86	2.83	4	3.8	4.33
1	1	0	0	1.5	1.83	4.45	4	2.08
1	1	4	2	1.07	1.33	3.73	4.3	2.92
1	1	0	0	1	3.33	3.64	3.9	1.5
1	1	1	0	1.21	2.17	2.73	3.7	3.67
1	1	5	5	1.07	1.33	4.36	4	3.83
1	2	0	0	1.36	2.17	3.73	4.2	4.42
1	2	1	0	3	3	2.45	4	4.91
1	1	3	2	1	1.58	4.64	4.1	3.83
1	2	3	2	1.79	2.25	3.09	3.9	4.17
1	2	5	5	1.43	2.58	3.73	3.8	2.67
1	2	6	3	1.57	3	2.27	3.2	4.58
1	2	4	3	1.5	1.92	2.55	3.8	4.25
2	2	0	0	1	2.67	2.91	3.1	2.5
1	2	0	0	1.29	1.25	4.09	4.7	3.25
1	2	1	0	1.29	2.83	3.64	3.3	2
1	2	5	6	1.07	1.75	3.73	3.6	3.58
1	2	2	1	1.21	1.33	4.27	2.8	3.08
1	2	2	2	2.93	2.5	3.36	3.3	3.58
1	2	0	0	1.21	1.25	4	4.2	4.75
1	1	3	3	1.36	1.67	2.82	3.6	3.75
1	1	4	1	1	1.58	3.82	4.6	2.92
1	1	0	0	1.07	1.5	4.09	4.2	3.42
1	1	0	0	1.29	2.42	3.73	4.11	4.09
1	2	1	0	1	1.33	4.64	4.1	1.33
1	2	1	0	1	1.83	4.27	4.4	1
1	2	0	0	1.29	1.17	3.45	4	3.67
1	1	1	0	2	2.67	3.09	2.4	4.08
1	1	2	0	3.14	3.5	4.64	3.44	4.67
1	1	4	2	1.14	2.08	2.45	4.5	5
1	1	3	2	1.07	1.17	2.82	4.3	4
1	1	2	2	1	1.17	3	3.1	3.33
1	1	3	1	3.07	3.5	3.82	3.5	3.75
1	1	0	0	1	1.67	4.82	4.3	4.17
1	1	1	0	2.29	2.33	4.18	4.1	3.83
1	1	0	0	1.07	2.75	2.45	4.1	5
1	1	5	4	1.07	1.17	4.91	4.3	3.25
1	1	5	3	2.21	2.17	2.64	3.9	3.92
1	2	3	2	2.07	2.5	3.36	3.8	3.42
1	2	0	0	1.29	1.5	3.64	3.7	3.17
1	2	0	0	2	3.75	2.82	2.5	2.67
1	2	1	0	1	2.33	4.64	3.1	1.58
1	1	1	0	1.07	1.83	4.18	3.9	3.25
1	1	0	0	1	1.42	4.27	5	5
1	1	0	0	2	2.83	4	3.9	4.67
1	1	5	2	1.43	1	4.55	4	4.17
1	1	0	0	1.79	1.83	3.64	3.4	2.75
1	1	2	2	1.14	1.5	3.73	3.8	3.08
1	2	0	0	1.21	1.5	3.55	4.4	2.25
1	2	5	3	1.21	2.25	2.36	3.8	3.67
1	2	1	0	1.07	2	3.64	5	3.33
1	2	5	2	1.07	1.33	3.09	4.7	3.17
1	1	0	0	1.36	1.5	4	3.5	2
1	1	1	0	2.14	2.92	3.64	3.9	2.5
1	2	0	0	1.14	1.75	5	4.1	1.92
1	2	0	0	1	1.67	3.91	3.7	1.83
1	2	5	4	1.14	2	3.73	3.8	2.42
1	2	0	0	1.07	2.75	3.73	3.8	1.42
1	1	7	6	1	1.33	3.73	4.6	2.67
1	1	1	0	1.21	1.92	4.36	4.5	3.17
1	1	0	0	2.93	3.92	2.55	2.8	3.58
1	1	6	6	1.54	2.25	3.45	4.1	4.42
1	2	0	0	1.29	2.17	2	3.1	3.33
1	2	1	0	1	1.58	2.55	3.7	4.33
1	2	4	1	1.07	1.75	2.55	4.3	3.67
1	2	3	2	1.57	1.33	3	3.3	4.17
1	2	1	0	1	2.92	3.64	4	2.67
1	2	2	2	2.71	2.09	2.82	3.9	4.92
1	2	1	0	1	1	2.55	2.9	3.67
1	2	5	2	1.71	2.58	2.18	2.8	3.25
1	2	1	0	1.07	2.17	3.27	3.7	3.92
1	2	1	0	1.14	2.33	3.09	2.7	2.92
1	2	0	0	1	2.25	3.82	4.6	3.08
1	2	6	6	2.36	2.58	2.64	3.2	4.42
1	1	1	0	2.14	2.42	3.27	2.5	3.5
1	1	0	0	1.07	2	3	4.8	4.5
1	1	0	0	2.21	2.33	2.82	3.2	3.92
2	1	0	0	1.21	1.42	3	3.2	4.08
1	1	5	4	1.21	3.17	1.27	3.5	4.5
1	1	0	0	2.07	3.17	3.64	3.6	4.25
1	1	0	0	1	1.25	3.91	3.9	1.58
1	1	4	3	3.5	4.25	2.82	2.6	3.5
1	2	4	1	2.07	2.17	3.82	3.6	3.25
1	2	2	2	1.07	1.58	4.45	4.7	2.83
1	2	3	3	1.14	2.58	2.45	3.2	4.5
1	2	3	2	1.86	2.83	3.36	3.3	2
1	1	5	2	1.29	1.83	3.27	3.5	4.75
1	1	1	0	1.64	3.08	4.27	3.3	3.08
1	1	0	0	3.64	3	2.36	4.2	4.83
1	1	5	6	1.36	2.42	3.73	3.4	4.08
1	1	0	0	1.57	1.83	3.64	3	4.25
1	1	1	0	1.07	1.5	4.36	4.1	2.83
1	1	5	6	1.14	1.92	3.09	3.1	4.67
1	1	3	2	1.07	1.75	4	4.6	3.5
1	1	1	0	2.5	2.58	3.82	3.3	3.58
1	1	1	0	4	2.25	3	4.3	4.58
1	1	1	0	2.93	3.08	3.91	3.3	3.92
1	1	0	0	1	1.5	3.45	3.1	2.58
1	1	1	0	1.5	2.17	4.27	3.9	3.25
1	1	0	0	2.43	3.25	2.45	3.4	4
1	1	2	1	1	1.25	3.73	4	3.83
1	2	1	0	1.57	2.42	3.73	2.6	2.67
1	2	1	0	1.43	3.08	4.18	4.1	1.75
1	2	3	2	1.14	1.67	3.82	3.9	4.17
1	1	5	5	1.93	2.33	2.82	4.4	4
1	1	0	0	1.71	2.75	2.91	3.2	3.67
1	2	2	2	1.43	2.67	3.82	4.1	3.83
1	2	2	1	2.07	2.92	2.91	3.3	3.08
1	2	5	4	1.21	1.25	3.73	3.6	3.5
1	2	3	3	1	1.33	3.09	4.5	1.92
1	1	1	0	1	1.25	3.45	4.2	3.42
1	1	4	5	1.21	2.17	3.91	4	4.08
1	1	2	2	1.5	2.58	3.27	3.4	2.42
1	1	2	1	2	2.75	4.09	3	4.08
1	1	0	0	1.14	1.25	3.36	3.4	4.58
1	1	1	0	1.93	2.08	2.64	3.2	3.22
1	2	3	1	1.07	2.33	4.64	3.6	2
1	2	4	3	2.57	3.17	3.27	3.5	2.58
1	2	0	0	1.14	1.33	1.91	4.9	4
1	2	5	5	1.14	2	2.55	4.1	3.17
1	2	1	0	1.07	1.75	3.64	3.2	2.08
1	2	1	0	2.14	2.33	2.82	2.9	4.42
1	2	2	2	1	1.5	3.82	3.1	4.3
1	2	5	0	1	1.58	4.09	4	4.25
1	2	1	0	1.14	1.67	4.64	4.2	3.5
1	2	0	0	2.71	2.75	2.55	2.9	1.42
1	1	3	2	1.07	1.17	4.64	4.8	4.17
2	1	5	5	2.64	1.75	4.36	3.5	4.17
2	1	5	2	1	1.5	4.91	4.3	2.33
1	1	1	0	1.64	1.17	2.18	3.6	4.42
