"PID","Height","Weight","Vertical","T.Q..Spring","L.A.T.","NSeasons","AnySeasons"
"1",304,76.25,214,36.5,3.19,10.7,14,1
"2",305,80.25,201,32,3.29,11.63,14,1
"3",306,69.75,171,34.5,3.08,10.63,4,1
"4",307,79.25,246,33,3.24,11.61,12,1
"5",310,80.75,230,30,3.25,10.93,0,0
"6",311,73.75,181,43.5,3.21,11.24,0,0
"7",312,81.5,236,35.5,3.22,11.7,3,1
"8",314,81.5,263,25,3.4,13.32,3,1
"9",315,73.25,176,29,3.27,11.5,0,0
"10",316,86,255,29,3.62,12.9,0,0
"11",317,79.25,196,36,3.38,11.95,8,1
"12",318,80.75,215,31,3.12,11.58,0,0
"13",319,79.5,223,32,3.19,11.38,1,1
"14",320,80,220,31.5,3.34,11.46,14,1
"15",321,83,223,31.5,3.34,11.64,0,0
"16",322,73.25,193,35,3.14,10.45,9,1
"17",325,77.75,214,31,3.2,10.89,2,1
"18",326,73.75,202,32,3.1,10.97,1,1
"19",327,81.5,234,31,3.25,11.15,2,1
"20",328,81.75,260,31.5,3.36,11.75,0,0
"21",329,79.75,248,30.5,3.24,12.49,8,1
"22",330,74.25,192,37.5,3.19,11.28,11,1
"23",331,75,170,37,3.19,11.03,14,1
"24",332,82.25,240,35.5,3.14,11.21,14,1
"25",333,80.5,229,34.5,3.28,11.91,0,0
"26",334,81.5,238,36,3.2,11.33,13,1
"27",335,78.75,217,34.5,3.18,11.17,14,1
"28",336,81.75,233,32.5,3.41,12.28,0,0
"29",337,79,212,36,3.24,11.1,4,1
"30",338,81.75,263,30,3.29,13.08,14,1
"31",339,80.5,262,28.5,3.38,11.81,0,0
"32",340,74,172,28.5,3.28,11.07,0,0
"33",343,79.5,186,30,3.23,10.72,13,1
"34",344,80.5,247,29.5,3.23,12.93,0,0
"35",345,78.75,206,34.5,3.13,11.08,0,0
"36",346,80.5,241,30.5,3.33,11.81,0,0
"37",347,80.75,229,28.5,3.39,11.74,0,0
"38",348,76.25,198,33,3.1,10.94,0,0
"39",349,80,198,32.5,3.21,11.01,0,0
"40",350,77.25,202,30,3.34,11.31,0,0
"41",351,76.75,205,33.5,3.22,11.45,0,0
"42",352,72.5,199,33.5,3.14,10.95,14,1
"43",353,76.75,223,32.5,3.32,11.27,0,0
"44",354,82,257,34,3.15,12.32,10,1
"45",355,82.75,193,33,3.27,11.18,0,0
"46",356,80.75,239,30,3.4,10.99,0,0
"47",357,82.75,231,30,3.56,12.97,0,0
"48",358,76,210,36,3.17,11.14,0,0
"49",359,75.25,182,32.5,3.24,11.5,0,0
"50",361,71.25,170,29,3.25,11.37,0,0
"51",362,87.25,266,26.5,3.6,12.61,0,0
"52",363,83.75,246,26,3.56,12.65,2,1
"53",364,81,233,33,3.3,12.52,2,1
"54",365,78.5,208,34.5,3.17,10.91,3,1
"55",366,69,181,43.5,2.96,10.75,11,1
"56",367,79.5,205,30.5,3.37,11.98,0,0
"57",368,75.25,204,35.5,3.18,11.27,0,0
"58",369,82.5,234,31.5,3.39,10.93,0,0
"59",370,80.25,221,39.5,3.24,11.43,13,1
"60",371,78.75,227,35.5,3.21,10.93,14,1
"61",372,78.75,228,35,3.13,10.79,4,1
"62",373,82,233,31.5,3.27,12.13,3,1
"63",374,83.75,233,31.5,3.38,11.65,7,1
"64",376,83.5,272,26.5,3.63,13.13,0,0
"65",377,79.75,198,31.5,3.23,11.8,0,0
"66",379,82.75,226,33.5,3.25,10.75,2,1
